1784008676.523836, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127742361906763
1784008676.858539, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127742696621748
1784008676.858684, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 8793993058553384644252859121192524643, 1784008676.425784, 1, 19, 6127742696782469
1784008676.859415, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 33266057517766455686068541731003506140, 1784008676.859346, 1, 20, 6127742697499655
1784008676.859622, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127742697696327
1784008676.910445, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127742748538323
1784008676.910597, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127742748687459
1784008676.956281, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127742794369633
1784008676.956638, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127742794709522
1784008677.293250, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127743131334991
1784008677.293989, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 33266057517766455686068541731003506140, 1784008676.859346, 1, 20, 6127743132109874
1784008677.294797, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 232342108911533172368254783834090852315, 1784008677.294640, 1, 21, 6127743132873124
1784008677.295116, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127743133190405
1784008677.318607, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127743156691445
1784008677.318703, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127743156776389
1784008677.366330, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127743204424232
1784008677.366798, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127743204883498
1784008677.703525, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127743541608327
1784008677.703679, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 232342108911533172368254783834090852315, 1784008677.294640, 1, 21, 6127743541779224
1784008677.704490, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 18573261303711185052080808032891236989, 1784008677.704343, 1, 22, 6127743542575450
1784008677.704791, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127743542868106
1784008677.729220, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127743567307262
1784008677.729367, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127743567463582
1784008677.784902, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127743622993543
1784008677.785361, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 6127743623445928
1784008678.118190, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 6127743956275083
1784008678.118307, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 18573261303711185052080808032891236989, 1784008677.704343, 1, 22, 6127743956401323
1784008678.129262, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 117526461458325215754010112116883740577, 1784008678.129033, 1, 23, 6127743967351801
1784008678.129610, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 6127743967689514
1784008678.162783, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 6127744000878277
1784008678.162908, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 6127744000983957
1784008678.217736, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 6127744055823804
