1784081932.924496, BG indexer pilot, Embed passages, run, end, 6200998762584405
1784081932.924906, BG indexer pilot, Chroma indexer, run, start, 6200998762998326
1784081932.953081, BG indexer pilot, Chroma indexer, run, end, 6200998791166416
1784081932.953187, BG indexer pilot, pipeline - passages, run, end, 325121589094814345361631631563033274909, 1784081932.891662, 1, 17, 6200998791264912
1784081932.953530, BG indexer pilot, pipeline - passages, run, start, 294020080949958258953189463423218359652, 1784081932.953486, 1, 18, 6200998791602593
1784081932.953754, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998791829489
1784081932.953898, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998791960209
1784081932.953965, BG indexer pilot, Embed passages, run, start, 6200998792040930
1784081932.985146, BG indexer pilot, Embed passages, run, end, 6200998823234912
1784081932.985424, BG indexer pilot, Chroma indexer, run, start, 6200998823519073
1784081933.019512, BG indexer pilot, Chroma indexer, run, end, 6200998857588308
1784081933.019603, BG indexer pilot, pipeline - passages, run, end, 294020080949958258953189463423218359652, 1784081932.953486, 1, 18, 6200998857679508
1784081933.020102, BG indexer pilot, pipeline - passages, run, start, 230521978247570756552907799212432743204, 1784081933.020056, 1, 19, 6200998858174660
1784081933.020260, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998858335253
1784081933.020403, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998858464821
1784081933.020518, BG indexer pilot, Embed passages, run, start, 6200998858590149
1784081933.052266, BG indexer pilot, Embed passages, run, end, 6200998890361908
1784081933.052740, BG indexer pilot, Chroma indexer, run, start, 6200998890858757
1784081933.079589, BG indexer pilot, Chroma indexer, run, end, 6200998917664509
1784081933.079682, BG indexer pilot, pipeline - passages, run, end, 230521978247570756552907799212432743204, 1784081933.020056, 1, 19, 6200998917769358
1784081933.080061, BG indexer pilot, pipeline - passages, run, start, 304999591768000826324871611453730118449, 1784081933.080012, 1, 20, 6200998918134478
1784081933.080238, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998918312062
1784081933.080374, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998918436367
1784081933.080415, BG indexer pilot, Embed passages, run, start, 6200998918483071
1784081933.112523, BG indexer pilot, Embed passages, run, end, 6200998950615695
1784081933.112849, BG indexer pilot, Chroma indexer, run, start, 6200998950970591
1784081933.140567, BG indexer pilot, Chroma indexer, run, end, 6200998978643305
1784081933.140670, BG indexer pilot, pipeline - passages, run, end, 304999591768000826324871611453730118449, 1784081933.080012, 1, 20, 6200998978755913
1784081933.141124, BG indexer pilot, pipeline - passages, run, start, 310279024266224441147920658901508952243, 1784081933.140981, 1, 21, 6200998979199450
1784081933.141286, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200998979357738
1784081933.141408, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200998979470378
1784081933.141565, BG indexer pilot, Embed passages, run, start, 6200998979650682
1784081933.174556, BG indexer pilot, Embed passages, run, end, 6200999012637628
1784081933.174973, BG indexer pilot, Chroma indexer, run, start, 6200999013062940
1784081933.203544, BG indexer pilot, Chroma indexer, run, end, 6200999041625767
1784081933.203660, BG indexer pilot, pipeline - passages, run, end, 310279024266224441147920658901508952243, 1784081933.140981, 1, 21, 6200999041745015
1784081933.204044, BG indexer pilot, pipeline - passages, run, start, 127167312526780078062758610616572590948, 1784081933.203996, 1, 22, 6200999042117608
1784081933.204209, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999042283976
1784081933.204351, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999042413608
1784081933.204406, BG indexer pilot, Embed passages, run, start, 6200999042478840
1784081933.235621, BG indexer pilot, Embed passages, run, end, 6200999073702567
1784081933.236033, BG indexer pilot, Chroma indexer, run, start, 6200999074117816
1784081933.263794, BG indexer pilot, Chroma indexer, run, end, 6200999101874209
1784081933.263903, BG indexer pilot, pipeline - passages, run, end, 127167312526780078062758610616572590948, 1784081933.203996, 1, 22, 6200999101984898
1784081933.264348, BG indexer pilot, pipeline - passages, run, start, 30044670608056724712225271856704184446, 1784081933.264225, 1, 23, 6200999102420674
1784081933.264508, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999102580723
1784081933.264631, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999102692979
1784081933.264754, BG indexer pilot, Embed passages, run, start, 6200999102826115
1784081933.296244, BG indexer pilot, Embed passages, run, end, 6200999134331890
1784081933.296355, BG indexer pilot, Chroma indexer, run, start, 6200999134446770
1784081933.326825, BG indexer pilot, Chroma indexer, run, end, 6200999164914432
1784081933.326948, BG indexer pilot, pipeline - passages, run, end, 30044670608056724712225271856704184446, 1784081933.264225, 1, 23, 6200999165030912
1784081933.327498, BG indexer pilot, pipeline - passages, run, start, 72679371163654166865652473707147535991, 1784081933.327358, 1, 24, 6200999165574257
1784081933.327672, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999165748801
1784081933.327830, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999165892577
1784081933.327954, BG indexer pilot, Embed passages, run, start, 6200999166024545
1784081933.360074, BG indexer pilot, Embed passages, run, end, 6200999198150834
1784081933.360387, BG indexer pilot, Chroma indexer, run, start, 6200999198476434
1784081933.385025, BG indexer pilot, Chroma indexer, run, end, 6200999223106951
1784081933.385143, BG indexer pilot, pipeline - passages, run, end, 72679371163654166865652473707147535991, 1784081933.327358, 1, 24, 6200999223224519
1784081933.385634, BG indexer pilot, pipeline - passages, run, start, 269060989380887578711930718396920245402, 1784081933.385585, 1, 25, 6200999223710840
1784081933.385803, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999223877976
1784081933.385952, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999224014024
1784081933.386108, BG indexer pilot, Embed passages, run, start, 6200999224180409
1784081933.419377, BG indexer pilot, Embed passages, run, end, 6200999257464074
1784081933.419485, BG indexer pilot, Chroma indexer, run, start, 6200999257574731
1784081933.447128, BG indexer pilot, Chroma indexer, run, end, 6200999285211220
1784081933.447231, BG indexer pilot, pipeline - passages, run, end, 269060989380887578711930718396920245402, 1784081933.385585, 1, 25, 6200999285308900
1784081933.447596, BG indexer pilot, pipeline - passages, run, start, 97129630935328170140850710339779785135, 1784081933.447546, 1, 26, 6200999285667941
1784081933.447752, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999285826389
1784081933.447894, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999285955797
1784081933.447942, BG indexer pilot, Embed passages, run, start, 6200999286015381
1784081933.480076, BG indexer pilot, Embed passages, run, end, 6200999318165765
1784081933.480188, BG indexer pilot, Chroma indexer, run, start, 6200999318267462
1784081933.507124, BG indexer pilot, Chroma indexer, run, end, 6200999345209086
1784081933.507241, BG indexer pilot, pipeline - passages, run, end, 97129630935328170140850710339779785135, 1784081933.447546, 1, 26, 6200999345327582
1784081933.507620, BG indexer pilot, pipeline - passages, run, start, 327480251218398551165873696277377244698, 1784081933.507573, 1, 27, 6200999345693790
1784081933.507780, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999345854575
1784081933.507922, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999345983839
1784081933.507970, BG indexer pilot, Embed passages, run, start, 6200999346042415
1784081933.536307, BG indexer pilot, Embed passages, run, end, 6200999374383849
1784081933.537069, BG indexer pilot, Chroma indexer, run, start, 6200999375194075
1784081933.563552, BG indexer pilot, Chroma indexer, run, end, 6200999401632098
1784081933.563646, BG indexer pilot, pipeline - passages, run, end, 327480251218398551165873696277377244698, 1784081933.507573, 1, 27, 6200999401723026
1784081933.564148, BG indexer pilot, pipeline - passages, run, start, 118944657546574103703399813000358234744, 1784081933.564100, 1, 28, 6200999402224707
1784081933.564307, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999402383219
1784081933.564451, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999402512868
1784081933.564494, BG indexer pilot, Embed passages, run, start, 6200999402567508
1784081933.595328, BG indexer pilot, Embed passages, run, end, 6200999433398354
1784081933.595482, BG indexer pilot, Chroma indexer, run, start, 6200999433569346
1784081933.631668, BG indexer pilot, Chroma indexer, run, end, 6200999469747880
1784081933.631754, BG indexer pilot, pipeline - passages, run, end, 118944657546574103703399813000358234744, 1784081933.564100, 1, 28, 6200999469828888
1784081933.632138, BG indexer pilot, pipeline - passages, run, start, 87743851642161689531335058297977985596, 1784081933.632021, 1, 29, 6200999470211017
1784081933.632288, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999470364057
1784081933.632434, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999470496617
1784081933.632471, BG indexer pilot, Embed passages, run, start, 6200999470539353
1784081933.670337, BG indexer pilot, Embed passages, run, end, 6200999508422002
1784081933.670703, BG indexer pilot, Chroma indexer, run, start, 6200999508799747
1784081933.698718, BG indexer pilot, Chroma indexer, run, end, 6200999536801309
1784081933.698827, BG indexer pilot, pipeline - passages, run, end, 87743851642161689531335058297977985596, 1784081933.632021, 1, 29, 6200999536907309
1784081933.699359, BG indexer pilot, pipeline - passages, run, start, 245759258841514805974217264933877027210, 1784081933.699311, 1, 30, 6200999537433934
1784081933.699610, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999537688126
1784081933.699769, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999537831102
1784081933.699926, BG indexer pilot, Embed passages, run, start, 6200999538019759
1784081933.729508, BG indexer pilot, Embed passages, run, end, 6200999567591819
1784081933.730244, BG indexer pilot, Chroma indexer, run, start, 6200999568363932
1784081933.756149, BG indexer pilot, Chroma indexer, run, end, 6200999594232291
1784081933.756278, BG indexer pilot, pipeline - passages, run, end, 245759258841514805974217264933877027210, 1784081933.699311, 1, 30, 6200999594366963
1784081933.757002, BG indexer pilot, pipeline - passages, run, start, 20518963851830117973957893065823229519, 1784081933.756856, 1, 31, 6200999595086020
1784081933.757189, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999595264212
1784081933.757340, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999595402900
1784081933.757486, BG indexer pilot, Embed passages, run, start, 6200999595564421
1784081933.785192, BG indexer pilot, Embed passages, run, end, 6200999623276046
1784081933.785337, BG indexer pilot, Chroma indexer, run, start, 6200999623430990
1784081933.816374, BG indexer pilot, Chroma indexer, run, end, 6200999654459149
1784081933.816504, BG indexer pilot, pipeline - passages, run, end, 20518963851830117973957893065823229519, 1784081933.756856, 1, 31, 6200999654589565
1784081933.816895, BG indexer pilot, pipeline - passages, run, start, 18115144246374240853425914981656765140, 1784081933.816846, 1, 32, 6200999654967358
1784081933.817060, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999655135006
1784081933.817210, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999655272782
1784081933.817252, BG indexer pilot, Embed passages, run, start, 6200999655320430
1784081933.849784, BG indexer pilot, Embed passages, run, end, 6200999687871215
1784081933.849895, BG indexer pilot, Chroma indexer, run, start, 6200999687971503
1784081933.878293, BG indexer pilot, Chroma indexer, run, end, 6200999716377513
1784081933.878570, BG indexer pilot, pipeline - passages, run, end, 18115144246374240853425914981656765140, 1784081933.816846, 1, 32, 6200999716681882
1784081933.879236, BG indexer pilot, pipeline - passages, run, start, 13908492930085115975631537083479778620, 1784081933.879049, 1, 33, 6200999717321515
1784081933.879462, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999717536011
1784081933.879601, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999717663131
1784081933.879735, BG indexer pilot, Embed passages, run, start, 6200999717813756
1784081933.909205, BG indexer pilot, Embed passages, run, end, 6200999747286088
1784081933.909307, BG indexer pilot, Chroma indexer, run, start, 6200999747387544
1784081933.926922, BG indexer pilot, Chroma indexer, run, end, 6200999765024050
1784081933.927076, BG indexer pilot, pipeline - passages, run, end, 13908492930085115975631537083479778620, 1784081933.879049, 1, 33, 6200999765164242
1784081933.927466, BG indexer pilot, pipeline - passages, run, start, 210950035564810934790631381668198327865, 1784081933.927417, 1, 34, 6200999765538451
1784081933.927699, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999765772275
1784081933.927830, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999765892036
1784081933.927875, BG indexer pilot, Embed passages, run, start, 6200999765948260
1784081933.959403, BG indexer pilot, Embed passages, run, end, 6200999797484611
1784081933.960036, BG indexer pilot, Chroma indexer, run, start, 6200999798131988
1784081933.973782, BG indexer pilot, Chroma indexer, run, end, 6200999811856824
1784081933.974049, BG indexer pilot, pipeline - passages, run, end, 210950035564810934790631381668198327865, 1784081933.927417, 1, 34, 6200999812134409
1784081933.974452, BG indexer pilot, pipeline - passages, run, start, 103990112894083274767535975378599759161, 1784081933.974318, 1, 35, 6200999812532409
1784081933.974624, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999812696410
1784081933.974747, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999812808842
1784081933.974795, BG indexer pilot, Embed passages, run, start, 6200999812866554
1784081934.007330, BG indexer pilot, Embed passages, run, end, 6200999845417003
1784081934.007444, BG indexer pilot, Chroma indexer, run, start, 6200999845532603
1784081934.024761, BG indexer pilot, Chroma indexer, run, end, 6200999862837285
1784081934.024853, BG indexer pilot, pipeline - passages, run, end, 103990112894083274767535975378599759161, 1784081933.974318, 1, 35, 6200999862932229
1784081934.025447, BG indexer pilot, pipeline - passages, run, start, 37438661289504031517528510055715514629, 1784081934.025315, 1, 36, 6200999863519766
1784081934.025609, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999863682582
1784081934.025736, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999863797894
1784081934.025847, BG indexer pilot, Embed passages, run, start, 6200999863918918
1784081934.058450, BG indexer pilot, Embed passages, run, end, 6200999896536039
1784081934.058803, BG indexer pilot, Chroma indexer, run, start, 6200999896883528
1784081934.074394, BG indexer pilot, Chroma indexer, run, end, 6200999912478047
1784081934.074510, BG indexer pilot, pipeline - passages, run, end, 37438661289504031517528510055715514629, 1784081934.025315, 1, 36, 6200999912594079
1784081934.075064, BG indexer pilot, pipeline - passages, run, start, 263520903325340459946744077001297059331, 1784081934.074912, 1, 37, 6200999913147184
1784081934.075275, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 6200999913351680
1784081934.075415, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 6200999913476897
1784081934.075466, BG indexer pilot, Embed passages, run, start, 6200999913538465
1784081934.111435, BG indexer pilot, Embed passages, run, end, 6200999949521431
1784081934.111542, BG indexer pilot, Chroma indexer, run, start, 6200999949616391
1784081934.126541, BG indexer pilot, Chroma indexer, run, end, 6200999964626813
