1784016632.232747, BG indexer pilot, Chroma indexer, run, end, 108501602630916
1784016632.232793, BG indexer pilot, pipeline - passages, run, end, 138790774703426147401098866493005785662, 1784016632.128286, 1, 14, 108501602673833
1784016632.232966, BG indexer pilot, pipeline - passages, run, start, 180601968916897688149888564105929973410, 1784016632.232944, 1, 15, 108501602843583
1784016632.233033, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108501602911333
1784016632.233112, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108501602988250
1784016632.233133, BG indexer pilot, Embed passages, run, start, 108501603009583
1784016632.334450, BG indexer pilot, Embed passages, run, end, 108501704341833
1784016632.334529, BG indexer pilot, Chroma indexer, run, start, 108501704411458
1784016632.349215, BG indexer pilot, Chroma indexer, run, end, 108501719099541
1784016632.349267, BG indexer pilot, pipeline - passages, run, end, 180601968916897688149888564105929973410, 1784016632.232944, 1, 15, 108501719149041
1784016632.349462, BG indexer pilot, pipeline - passages, run, start, 289011285561468219836080701173366688462, 1784016632.349435, 1, 16, 108501719340291
1784016632.349540, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108501719419500
1784016632.349612, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108501719489000
1784016632.349654, BG indexer pilot, Embed passages, run, start, 108501719531208
1784016632.455236, BG indexer pilot, Embed passages, run, end, 108501825127958
1784016632.455305, BG indexer pilot, Chroma indexer, run, start, 108501825187583
1784016632.470685, BG indexer pilot, Chroma indexer, run, end, 108501840571166
1784016632.470739, BG indexer pilot, pipeline - passages, run, end, 289011285561468219836080701173366688462, 1784016632.349435, 1, 16, 108501840621416
1784016632.470916, BG indexer pilot, pipeline - passages, run, start, 94920687431815092806322815574377688602, 1784016632.470891, 1, 17, 108501840795750
1784016632.470985, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108501840862791
1784016632.471045, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108501840921875
1784016632.471068, BG indexer pilot, Embed passages, run, start, 108501840946875
1784016632.578936, BG indexer pilot, Embed passages, run, end, 108501948829041
1784016632.579011, BG indexer pilot, Chroma indexer, run, start, 108501948894125
1784016632.595370, BG indexer pilot, Chroma indexer, run, end, 108501965254250
1784016632.595420, BG indexer pilot, pipeline - passages, run, end, 94920687431815092806322815574377688602, 1784016632.470891, 1, 17, 108501965301666
1784016632.595616, BG indexer pilot, pipeline - passages, run, start, 116386930862764362490171152492683953826, 1784016632.595586, 1, 18, 108501965494291
1784016632.595690, BG indexer pilot, Corpus chunk loader (shard 0/1), run, start, 108501965570416
1784016632.595762, BG indexer pilot, Corpus chunk loader (shard 0/1), run, end, 108501965640291
1784016632.595808, BG indexer pilot, Embed passages, run, start, 108501965686416
