1784020819.538716, CLIP ANE encode pilot, pipeline - val, run, end, 142771806885267669761603833268609878051, 1784020819.486331, 1, 24, 112688879637208
1784020819.538978, CLIP ANE encode pilot, pipeline - val, run, start, 197310966911106561019853144353834002324, 1784020819.538945, 1, 25, 112688879899666
1784020819.539079, CLIP ANE encode pilot, VQA dataloader, run, start, 112688879997916
1784020819.542638, CLIP ANE encode pilot, VQA dataloader, run, end, 112688883556625
1784020819.542679, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688883595458
1784020819.589124, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688930052375
1784020819.589193, CLIP ANE encode pilot, pipeline - val, run, end, 197310966911106561019853144353834002324, 1784020819.538945, 1, 25, 112688930112666
1784020819.589395, CLIP ANE encode pilot, pipeline - val, run, start, 129701980241296455478862342932464243143, 1784020819.589362, 1, 26, 112688930311625
1784020819.589498, CLIP ANE encode pilot, VQA dataloader, run, start, 112688930418500
1784020819.593115, CLIP ANE encode pilot, VQA dataloader, run, end, 112688934033791
1784020819.593159, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688934074666
1784020819.640585, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112688981505791
1784020819.640635, CLIP ANE encode pilot, pipeline - val, run, end, 129701980241296455478862342932464243143, 1784020819.589362, 1, 26, 112688981553083
1784020819.640812, CLIP ANE encode pilot, pipeline - val, run, start, 321462479030796784012067824806609751222, 1784020819.640782, 1, 27, 112688981727958
1784020819.640894, CLIP ANE encode pilot, VQA dataloader, run, start, 112688981810083
1784020819.645512, CLIP ANE encode pilot, VQA dataloader, run, end, 112688986429416
1784020819.645583, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112688986497625
1784020819.691313, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689032245791
1784020819.691382, CLIP ANE encode pilot, pipeline - val, run, end, 321462479030796784012067824806609751222, 1784020819.640782, 1, 27, 112689032299833
1784020819.691579, CLIP ANE encode pilot, pipeline - val, run, start, 332744318708979180452364121726231029777, 1784020819.691553, 1, 28, 112689032494125
1784020819.691650, CLIP ANE encode pilot, VQA dataloader, run, start, 112689032565208
1784020819.694577, CLIP ANE encode pilot, VQA dataloader, run, end, 112689035494125
1784020819.694612, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689035525625
1784020819.740858, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689081781875
1784020819.740918, CLIP ANE encode pilot, pipeline - val, run, end, 332744318708979180452364121726231029777, 1784020819.691553, 1, 28, 112689081836458
1784020819.741104, CLIP ANE encode pilot, pipeline - val, run, start, 210783357633583221068328358251190858079, 1784020819.741075, 1, 29, 112689082019000
1784020819.741195, CLIP ANE encode pilot, VQA dataloader, run, start, 112689082111166
1784020819.746665, CLIP ANE encode pilot, VQA dataloader, run, end, 112689087581916
1784020819.746709, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689087622666
1784020819.791587, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689132506958
1784020819.791642, CLIP ANE encode pilot, pipeline - val, run, end, 210783357633583221068328358251190858079, 1784020819.741075, 1, 29, 112689132560083
1784020819.791834, CLIP ANE encode pilot, pipeline - val, run, start, 280208145929895676722979708182515179711, 1784020819.791804, 1, 30, 112689132748666
1784020819.791932, CLIP ANE encode pilot, VQA dataloader, run, start, 112689132848291
1784020819.796948, CLIP ANE encode pilot, VQA dataloader, run, end, 112689137864125
1784020819.796988, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689137901458
1784020819.842629, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689183550291
1784020819.842686, CLIP ANE encode pilot, pipeline - val, run, end, 280208145929895676722979708182515179711, 1784020819.791804, 1, 30, 112689183601541
1784020819.842873, CLIP ANE encode pilot, pipeline - val, run, start, 302874463333023963207140879179298414042, 1784020819.842847, 1, 31, 112689183789833
1784020819.842950, CLIP ANE encode pilot, VQA dataloader, run, start, 112689183864666
1784020819.845804, CLIP ANE encode pilot, VQA dataloader, run, end, 112689186718916
1784020819.845838, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689186751208
1784020819.890607, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689231525666
1784020819.890660, CLIP ANE encode pilot, pipeline - val, run, end, 302874463333023963207140879179298414042, 1784020819.842847, 1, 31, 112689231576875
1784020819.890849, CLIP ANE encode pilot, pipeline - val, run, start, 189932096847523295364195274232347469026, 1784020819.890819, 1, 32, 112689231763208
1784020819.890945, CLIP ANE encode pilot, VQA dataloader, run, start, 112689231860250
1784020819.896317, CLIP ANE encode pilot, VQA dataloader, run, end, 112689237231875
1784020819.896378, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689237290291
1784020819.942488, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689283417333
1784020819.942567, CLIP ANE encode pilot, pipeline - val, run, end, 189932096847523295364195274232347469026, 1784020819.890819, 1, 32, 112689283485458
1784020819.942804, CLIP ANE encode pilot, pipeline - val, run, start, 315176680858277749418519449140406564271, 1784020819.942771, 1, 33, 112689283718458
1784020819.942901, CLIP ANE encode pilot, VQA dataloader, run, start, 112689283813666
1784020819.947151, CLIP ANE encode pilot, VQA dataloader, run, end, 112689288065708
1784020819.947219, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689288131333
1784020819.992672, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689333599041
1784020819.992739, CLIP ANE encode pilot, pipeline - val, run, end, 315176680858277749418519449140406564271, 1784020819.942771, 1, 33, 112689333655208
1784020819.992945, CLIP ANE encode pilot, pipeline - val, run, start, 227104022429675223801426331016084909010, 1784020819.992915, 1, 34, 112689333857916
1784020819.993047, CLIP ANE encode pilot, VQA dataloader, run, start, 112689333961666
1784020819.996809, CLIP ANE encode pilot, VQA dataloader, run, end, 112689337723208
1784020819.996872, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689337782958
1784020820.042754, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689383674000
1784020820.042812, CLIP ANE encode pilot, pipeline - val, run, end, 227104022429675223801426331016084909010, 1784020819.992915, 1, 34, 112689383726250
1784020820.043015, CLIP ANE encode pilot, pipeline - val, run, start, 282804399857890569753071694620533667475, 1784020820.042980, 1, 35, 112689383927916
1784020820.043113, CLIP ANE encode pilot, VQA dataloader, run, start, 112689384024208
1784020820.048104, CLIP ANE encode pilot, VQA dataloader, run, end, 112689389018916
1784020820.048149, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689389061583
1784020820.093402, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689434321166
1784020820.093453, CLIP ANE encode pilot, pipeline - val, run, end, 282804399857890569753071694620533667475, 1784020820.042980, 1, 35, 112689434368166
1784020820.093658, CLIP ANE encode pilot, pipeline - val, run, start, 221130946111617419281197971582993520328, 1784020820.093631, 1, 36, 112689434569708
1784020820.093735, CLIP ANE encode pilot, VQA dataloader, run, start, 112689434646666
1784020820.097460, CLIP ANE encode pilot, VQA dataloader, run, end, 112689438372708
1784020820.097494, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689438404666
1784020820.143954, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689484875083
1784020820.144013, CLIP ANE encode pilot, pipeline - val, run, end, 221130946111617419281197971582993520328, 1784020820.093631, 1, 36, 112689484925708
1784020820.144188, CLIP ANE encode pilot, pipeline - val, run, start, 84912083841864217486785928446436011461, 1784020820.144154, 1, 37, 112689485099375
1784020820.144278, CLIP ANE encode pilot, VQA dataloader, run, start, 112689485189208
1784020820.148534, CLIP ANE encode pilot, VQA dataloader, run, end, 112689489449416
1784020820.148578, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689489489125
1784020820.193723, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689534638791
1784020820.193776, CLIP ANE encode pilot, pipeline - val, run, end, 84912083841864217486785928446436011461, 1784020820.144154, 1, 37, 112689534688958
1784020820.193983, CLIP ANE encode pilot, pipeline - val, run, start, 104646384174459963425989965654627343452, 1784020820.193949, 1, 38, 112689534893708
1784020820.194075, CLIP ANE encode pilot, VQA dataloader, run, start, 112689534985166
1784020820.198268, CLIP ANE encode pilot, VQA dataloader, run, end, 112689539181333
1784020820.198311, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689539223041
1784020820.244150, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689585075958
1784020820.244233, CLIP ANE encode pilot, pipeline - val, run, end, 104646384174459963425989965654627343452, 1784020820.193949, 1, 38, 112689585147250
1784020820.244431, CLIP ANE encode pilot, pipeline - val, run, start, 296529669385765531717977988470423808141, 1784020820.244398, 1, 39, 112689585342291
1784020820.244532, CLIP ANE encode pilot, VQA dataloader, run, start, 112689585441416
1784020820.248965, CLIP ANE encode pilot, VQA dataloader, run, end, 112689589877000
1784020820.249034, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689589943250
1784020820.294610, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689635525833
1784020820.294668, CLIP ANE encode pilot, pipeline - val, run, end, 296529669385765531717977988470423808141, 1784020820.244398, 1, 39, 112689635580958
1784020820.294849, CLIP ANE encode pilot, pipeline - val, run, start, 114142027584768355115876209842628763602, 1784020820.294816, 1, 40, 112689635759791
1784020820.294952, CLIP ANE encode pilot, VQA dataloader, run, start, 112689635863041
1784020820.301233, CLIP ANE encode pilot, VQA dataloader, run, end, 112689642144708
1784020820.301298, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689642206791
1784020820.347858, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689688782375
1784020820.347929, CLIP ANE encode pilot, pipeline - val, run, end, 114142027584768355115876209842628763602, 1784020820.294816, 1, 40, 112689688842500
1784020820.348253, CLIP ANE encode pilot, pipeline - val, run, start, 266007194195262309708064374054584620395, 1784020820.348207, 1, 41, 112689689175125
1784020820.348393, CLIP ANE encode pilot, VQA dataloader, run, start, 112689689308416
1784020820.351324, CLIP ANE encode pilot, VQA dataloader, run, end, 112689692246375
1784020820.351403, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689692320416
1784020820.397508, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689738429833
1784020820.397574, CLIP ANE encode pilot, pipeline - val, run, end, 266007194195262309708064374054584620395, 1784020820.348207, 1, 41, 112689738486500
1784020820.397793, CLIP ANE encode pilot, pipeline - val, run, start, 267801214134359823674539993019929352903, 1784020820.397759, 1, 42, 112689738702958
1784020820.397874, CLIP ANE encode pilot, VQA dataloader, run, start, 112689738782291
1784020820.400489, CLIP ANE encode pilot, VQA dataloader, run, end, 112689741399750
1784020820.400531, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, start, 112689741439666
1784020820.447516, CLIP ANE encode pilot, CLIP vision encoder (CoreML), run, end, 112689788433750
