1784081701.773601, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200767611690011
1784081701.773995, Decode 9B pilot, Decode LLM, run, end, 6200767612060428
1784081701.774776, Decode 9B pilot, pipeline - train, run, end, 147010465968287705457312072468517250562, 1784081686.800552, 5, 1, 6200767612890973
1784081701.775611, Decode 9B pilot, pipeline - train, run, start, 304881534146615530851744882143246710340, 1784081701.775429, 5, 2, 6200767613701790
1784081701.775983, Decode 9B pilot, Mock dataloader, run, start, 6200767614052238
1784081701.776099, Decode 9B pilot, Mock dataloader, run, end, 6200767614160654
1784081701.776414, Decode 9B pilot, Decode LLM, run, start, 6200767614495359
1784081701.778188, Decode 9B pilot, Decode LLM, first_token, start, 6200767616277121
1784081702.053188, Decode 9B pilot, Decode LLM, first_token, end, 6200767891337821
1784081717.451612, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200783289702675
1784081717.452018, Decode 9B pilot, Decode LLM, run, end, 6200783290083204
1784081717.452537, Decode 9B pilot, pipeline - train, run, end, 304881534146615530851744882143246710340, 1784081701.775429, 5, 2, 6200783290638613
1784081717.453430, Decode 9B pilot, pipeline - train, run, start, 5256525987326037489483473012579355256, 1784081717.453010, 5, 3, 6200783291520790
1784081717.453691, Decode 9B pilot, Mock dataloader, run, start, 6200783291757606
1784081717.453775, Decode 9B pilot, Mock dataloader, run, end, 6200783291836390
1784081717.453829, Decode 9B pilot, Decode LLM, run, start, 6200783291897910
1784081717.455043, Decode 9B pilot, Decode LLM, first_token, start, 6200783293106152
1784081717.723670, Decode 9B pilot, Decode LLM, first_token, end, 6200783561794864
1784081732.286821, Decode 9B pilot, Decode LLM, n_generated_tokens, 256, 6200798124910676
1784081732.287203, Decode 9B pilot, Decode LLM, run, end, 6200798125268565
1784081732.287437, Decode 9B pilot, pipeline - train, run, end, 5256525987326037489483473012579355256, 1784081717.453010, 5, 3, 6200798125526821
