1784081773.713564, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839551626951
1784081773.713595, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839551659911
1784081773.716522, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839554584747
1784081773.716579, ResNet50-v1.5 inference, pipeline - val, run, end, 262111856579712907359119753999583006457, 1784081773.712023, 1, 12, 6200839554654059
1784081773.716907, ResNet50-v1.5 inference, pipeline - val, run, start, 304675238641952634052613906883438916167, 1784081773.716864, 1, 13, 6200839554976971
1784081773.717058, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839555123692
1784081773.718079, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839556141277
1784081773.718148, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839556228493
1784081773.719378, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839557442607
1784081773.719450, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839557516015
1784081773.722341, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839560404099
1784081773.722395, ResNet50-v1.5 inference, pipeline - val, run, end, 304675238641952634052613906883438916167, 1784081773.716864, 1, 13, 6200839560470995
1784081773.722704, ResNet50-v1.5 inference, pipeline - val, run, start, 49641384399180322409898042409666057332, 1784081773.722667, 1, 14, 6200839560774020
1784081773.722844, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839560909268
1784081773.723938, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839562003429
1784081773.723974, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839562041877
1784081773.725007, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839563070935
1784081773.725044, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839563110327
1784081773.727887, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839565949867
1784081773.727943, ResNet50-v1.5 inference, pipeline - val, run, end, 49641384399180322409898042409666057332, 1784081773.722667, 1, 14, 6200839566025483
1784081773.728260, ResNet50-v1.5 inference, pipeline - val, run, start, 230215923039235265907651210067940164970, 1784081773.728215, 1, 15, 6200839566332283
1784081773.728418, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 6200839566482299
1784081773.729807, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 6200839567869165
1784081773.729877, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 6200839567959677
1784081773.730891, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 6200839568956623
1784081773.730970, ResNet50-v1.5 inference, ResNet50 inference, run, start, 6200839569036127
1784081773.733832, ResNet50-v1.5 inference, ResNet50 inference, run, end, 6200839571894819
