1783998733.103730, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90602524460958
1783998733.103808, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90602524525625
1783998733.169920, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90602590650041
1783998733.172293, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90602593011458
1783998733.748979, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90603169787291
1783998733.749271, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 109012551444944077813593197745823041534, 1783998733.049967, 1, 16, 90603170020666
1783998733.749999, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 331836390258280854076609506781013888214, 1783998733.749917, 1, 17, 90603170728666
1783998733.750222, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90603170946708
1783998733.819736, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90603240470833
1783998733.819813, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90603240533125
1783998733.886782, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90603307513125
1783998733.888357, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90603309075916
1783998734.462512, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90603883251791
1783998734.462609, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 331836390258280854076609506781013888214, 1783998733.749917, 1, 17, 90603883337041
1783998734.462912, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 272190770606529010688459168196732092574, 1783998734.462872, 1, 18, 90603883633708
1783998734.463041, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90603883763916
1783998734.550780, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90603971511291
1783998734.550853, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90603971573500
1783998734.653432, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90604074164166
1783998734.661938, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90604082662166
1783998735.240794, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90604661526583
1783998735.240861, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 272190770606529010688459168196732092574, 1783998734.462872, 1, 18, 90604661583333
1783998735.241052, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 212602474705732357894621382730831980740, 1783998735.241021, 1, 19, 90604661770833
1783998735.241112, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90604661831000
1783998735.342248, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90604762979041
1783998735.342326, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90604763054000
1783998735.451680, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90604872466375
1783998735.463999, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90604884737458
1783998736.047270, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90605468004458
1783998736.047338, EfficientNetv2 S Imagenette inference, pipeline - val, run, end, 212602474705732357894621382730831980740, 1783998735.241021, 1, 19, 90605468062125
1783998736.047550, EfficientNetv2 S Imagenette inference, pipeline - val, run, start, 164035368100854598735378535886115463185, 1783998736.047520, 1, 20, 90605468272708
1783998736.047661, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, start, 90605468381500
1783998736.108219, EfficientNetv2 S Imagenette inference, Load Imagenette samples from TorchVision Dataset, run, end, 90605528952041
1783998736.108281, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, start, 90605529002125
1783998736.204545, EfficientNetv2 S Imagenette inference, Preprocess Imagenette data coming from DataLoader, run, end, 90605625279250
1783998736.214584, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, start, 90605635318166
1783998736.790248, EfficientNetv2 S Imagenette inference, EfficientNet inference, run, end, 90606210983583
