1783998831.842487, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701263363875
1783998831.843055, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701263932708
1783998831.843088, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701263965666
1783998831.852697, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701273575208
1783998831.852728, ResNet50-v1.5 inference, pipeline - val, run, end, 304266392332699550539047100976439765409, 1783998831.841788, 1, 12, 90701273608416
1783998831.852855, ResNet50-v1.5 inference, pipeline - val, run, start, 222366025019514974145809170480792392947, 1783998831.852838, 1, 13, 90701273733708
1783998831.852909, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701273785708
1783998831.853403, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701274289375
1783998831.853458, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701274338333
1783998831.854041, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701274924625
1783998831.854088, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701274963833
1783998831.863371, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701284250666
1783998831.863408, ResNet50-v1.5 inference, pipeline - val, run, end, 222366025019514974145809170480792392947, 1783998831.852838, 1, 13, 90701284286791
1783998831.863517, ResNet50-v1.5 inference, pipeline - val, run, start, 159855586770384467293062269972991456711, 1783998831.863502, 1, 14, 90701284394916
1783998831.863575, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701284452291
1783998831.864028, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701284910583
1783998831.864081, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701284959041
1783998831.864617, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701285495083
1783998831.864662, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701285539250
1783998831.873991, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701294872875
1783998831.874028, ResNet50-v1.5 inference, pipeline - val, run, end, 159855586770384467293062269972991456711, 1783998831.863502, 1, 14, 90701294907083
1783998831.874157, ResNet50-v1.5 inference, pipeline - val, run, start, 133412357533790430443712468643817637709, 1783998831.874140, 1, 15, 90701295034250
1783998831.874207, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701295084875
1783998831.874840, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701295717875
1783998831.874882, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701295758750
1783998831.875431, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701296308916
1783998831.875482, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701296358708
1783998831.885509, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701306389333
1783998831.885549, ResNet50-v1.5 inference, pipeline - val, run, end, 133412357533790430443712468643817637709, 1783998831.874140, 1, 15, 90701306428250
1783998831.885679, ResNet50-v1.5 inference, pipeline - val, run, start, 188231586512299702368037482068068088634, 1783998831.885658, 1, 16, 90701306557041
1783998831.885749, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701306626166
1783998831.886449, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701307330125
1783998831.886486, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701307364958
1783998831.887052, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701307935333
1783998831.887099, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701307975875
1783998831.897430, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701318312125
1783998831.897476, ResNet50-v1.5 inference, pipeline - val, run, end, 188231586512299702368037482068068088634, 1783998831.885658, 1, 16, 90701318353833
1783998831.897623, ResNet50-v1.5 inference, pipeline - val, run, start, 201395786098383392292617255016207202665, 1783998831.897599, 1, 17, 90701318500833
1783998831.897676, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701318553958
1783998831.898222, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701319101750
1783998831.898254, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, start, 90701319130625
1783998831.898905, ResNet50-v1.5 inference, Preprocess samples with ResNet50 weights transforms, run, end, 90701319789750
1783998831.898964, ResNet50-v1.5 inference, ResNet50 inference, run, start, 90701319845291
1783998831.908577, ResNet50-v1.5 inference, ResNet50 inference, run, end, 90701329459791
1783998831.908615, ResNet50-v1.5 inference, pipeline - val, run, end, 201395786098383392292617255016207202665, 1783998831.897599, 1, 17, 90701329493958
1783998831.908739, ResNet50-v1.5 inference, pipeline - val, run, start, 242480103973868367194143356356427338394, 1783998831.908724, 1, 18, 90701329616416
1783998831.908784, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, start, 90701329660666
1783998831.909671, ResNet50-v1.5 inference, Load Imagenette samples from TorchVision Dataset, run, end, 90701330549416
