cell,stage,B,kind,level_pct,run,pipeline,role,scheduler,n_queries,n_completed,n_used,span_s,anchor,match_frac,blocked_puts,p50_resp_s,p95_resp_s,mean_resp_s,throughput_qps,offered_qps,realized_qps,offered_bytes_ps,realized_bytes_ps,gen_dur_s_med,tok_per_s_med,per_token_s_med,ttft_s_med,amc_cpu_gbps,amc_gpu_gbps,amc_ane_gbps,amc_other_gbps,amc_total_gbps,notes
stage_d_clipane_L50_mlx,d,nan,clipane,50,1,Decode 9B pilot,fg,OfflineLoadScheduler,15,15,12,158.5,submitted,nan,0,10.37,nan,10.4,0.09464,nan,,,,10.37,24.7,0.03548,1.311,2.316,149.4,3.183,0.8355,155.7,arrivals sidecar owned by 'BG co-runner clipane' (match 1.00); n_tokens from trace rows; ttft from sub-phase rows; 
stage_d_clipane_L75_mlx,d,nan,clipane,75,1,Decode 9B pilot,fg,OfflineLoadScheduler,15,15,12,160.1,submitted,nan,0,10.38,nan,10.56,0.09371,nan,,,,10.37,24.68,0.03551,1.314,2.551,147.6,6.048,0.8143,156.9,arrivals sidecar owned by 'BG co-runner clipane' (match 1.00); n_tokens from trace rows; ttft from sub-phase rows; 
stage_d_clipane_L75_mlx,d,nan,clipane,75,1,BG co-runner clipane,bg,MultiStreamScheduler,1000,1000,750,66.52,,1,nan,,,,15.03,15.03,15.03,nan,nan,,,,,2.731,143.6,14.33,0.7619,161.4,no model-based traffic estimate (use counters); arrivals sidecar owned by this bg; 
stage_d_clipgpu_L100_mlx,d,nan,clipgpu,100,1,Decode 9B pilot,fg,OfflineLoadScheduler,15,15,12,195.5,submitted,nan,0,10.65,nan,12.46,0.07672,nan,,,,10.65,24.03,0.03654,1.345,4.948,135.1,0.2239,0.8612,140.9,arrivals sidecar owned by 'BG co-runner clipgpu' (match 1.00); n_tokens from trace rows; ttft from sub-phase rows; 
stage_d_clipgpu_L100_mlx,d,nan,clipgpu,100,1,BG co-runner clipgpu,bg,MultiStreamScheduler,1000,1000,754,105.6,,1,nan,,,,9.52,18.42,9.52,nan,nan,,,,,5.019,123,0.1909,0.8694,128.8,no model-based traffic estimate (use counters); arrivals sidecar owned by this bg; 
stage_d_clipgpu_L25_mlx,d,nan,clipgpu,25,1,Decode 9B pilot,fg,OfflineLoadScheduler,15,15,12,189.9,submitted,nan,0,12.61,nan,12.65,0.07901,nan,,,,12.61,20.31,0.04325,1.59,4.534,136.2,0.1418,0.8625,141.6,arrivals sidecar owned by 'BG co-runner clipgpu' (match 1.00); n_tokens from trace rows; ttft from sub-phase rows; 
stage_d_clipgpu_L25_mlx,d,nan,clipgpu,25,1,BG co-runner clipgpu,bg,MultiStreamScheduler,1000,1000,750,217.1,,1,nan,,,,4.607,4.604,4.607,nan,nan,,,,,3.893,116.9,0.1044,0.8274,121.7,no model-based traffic estimate (use counters); arrivals sidecar owned by this bg; 
stage_d_clipgpu_L50_mlx,d,nan,clipgpu,50,1,Decode 9B pilot,fg,OfflineLoadScheduler,15,15,12,195.5,submitted,nan,0,10.61,nan,12.49,0.07673,nan,,,,10.61,24.13,0.03627,1.363,4.344,134.5,0.0786,0.8497,139.8,arrivals sidecar owned by 'BG co-runner clipgpu' (match 1.00); n_tokens from trace rows; ttft from sub-phase rows; 
stage_d_clipgpu_L50_mlx,d,nan,clipgpu,50,1,BG co-runner clipgpu,bg,MultiStreamScheduler,1000,1000,753,108.9,,1,nan,,,,9.223,9.208,9.223,nan,nan,,,,,3.429,124.6,0.04722,0.8552,128.9,no model-based traffic estimate (use counters); arrivals sidecar owned by this bg; 
stage_d_clipgpu_L75_mlx,d,nan,clipgpu,75,1,Decode 9B pilot,fg,OfflineLoadScheduler,15,15,12,195.3,submitted,nan,0,10.45,nan,12.4,0.07682,nan,,,,10.45,24.5,0.03581,1.338,4.728,134.9,0.122,0.8548,140.6,arrivals sidecar owned by 'BG co-runner clipgpu' (match 1.00); n_tokens from trace rows; ttft from sub-phase rows; 
stage_d_clipgpu_L75_mlx,d,nan,clipgpu,75,1,BG co-runner clipgpu,bg,MultiStreamScheduler,1000,1000,753,105.8,,1,nan,,,,9.493,13.81,9.493,nan,nan,,,,,5.342,122.4,0.1296,0.8546,128.8,no model-based traffic estimate (use counters); arrivals sidecar owned by this bg; 
stage_d_stream_L100_mlx,d,nan,stream,100,1,BG co-runner stream,bg,MultiStreamScheduler,1000,1000,754,61.73,,1,nan,,,,16.29,16.81,16.29,5.414e+10,5.246e+10,,,,,87.73,0.03143,0.01256,0.9101,88.67,stream-triad model (exact); arrivals sidecar owned by this bg; 
stage_d_stream_L100_mlx,d,nan,stream,100,1,Decode 9B pilot,fg,OfflineLoadScheduler,15,15,12,156,submitted,nan,0,10.31,nan,10.32,0.09613,nan,,,,10.31,24.84,0.03534,1.298,3.008,151.7,0.02798,0.8361,155.6,arrivals sidecar owned by 'BG co-runner stream' (match 1.00); n_tokens from trace rows; ttft from sub-phase rows; 
stage_d_stream_L25_mlx,d,nan,stream,25,1,BG co-runner stream,bg,MultiStreamScheduler,1000,1000,750,237.8,,1,nan,,,,4.205,4.202,4.205,1.354e+10,1.355e+10,,,,,25.18,100.3,0.05233,0.8368,126.3,stream-triad model (exact); arrivals sidecar owned by this bg; 
stage_d_stream_L25_mlx,d,nan,stream,25,1,Decode 9B pilot,fg,OfflineLoadScheduler,15,15,12,174.4,submitted,nan,0,11.54,nan,11.54,0.08599,nan,,,,11.54,22.19,0.0401,1.31,24.99,136.3,0.01422,0.8795,162.2,arrivals sidecar owned by 'BG co-runner stream' (match 1.00); n_tokens from trace rows; ttft from sub-phase rows; 
stage_d_stream_L50_mlx,d,nan,stream,50,1,Decode 9B pilot,fg,OfflineLoadScheduler,15,15,12,181.5,submitted,nan,0,12.98,nan,12.41,0.08265,nan,,,,12.97,19.73,0.04568,1.326,32.1,131.3,0.03015,0.8768,164.2,arrivals sidecar owned by 'BG co-runner stream' (match 1.00); n_tokens from trace rows; ttft from sub-phase rows; 
stage_d_stream_L50_mlx,d,nan,stream,50,1,BG co-runner stream,bg,MultiStreamScheduler,1000,1000,751,119,,1,nan,,,,8.414,8.403,8.414,2.707e+10,2.71e+10,,,,,46.58,124.1,0.01731,0.8976,171.5,stream-triad model (exact); arrivals sidecar owned by this bg; 
stage_d_stream_L75_mlx,d,nan,stream,75,1,BG co-runner stream,bg,MultiStreamScheduler,1000,1000,726,100.7,,1,nan,,,,9.611,12.61,9.611,4.061e+10,3.096e+10,,,,,55.2,106.4,0.0924,0.9387,162.5,stream-triad model (exact); arrivals sidecar owned by this bg; 
stage_d_stream_L75_mlx,d,nan,stream,75,1,Decode 9B pilot,fg,OfflineLoadScheduler,15,15,12,174.9,submitted,nan,0,10.35,nan,11.17,0.08575,nan,,,,10.34,24.75,0.03543,1.311,27.97,136.1,0.01032,0.8808,165,arrivals sidecar owned by 'BG co-runner stream' (match 1.00); n_tokens from trace rows; ttft from sub-phase rows; 
