cell,stage,B,kind,level_pct,metric,estimate,ci_lo,ci_hi,n_runs,unit,run_values
stage_c_stream_L100_mlx,c,nan,stream,100,amc_ane_gbps,0.01224,nan,nan,1,GB/s,0.01224
stage_c_stream_L100_mlx,c,nan,stream,100,amc_total_gbps,9.298,nan,nan,1,GB/s,9.298
stage_c_stream_L25_mlx,c,nan,stream,25,fg_p50_resp_s,2.035,1.933,2.164,1,s,2.035
stage_c_stream_L25_mlx,c,nan,stream,25,fg_throughput_qps,0.2362,nan,nan,1,1/s,0.2362
stage_c_stream_L25_mlx,c,nan,stream,25,bg_realized_qps,4.205,nan,nan,1,1/s,4.205
stage_c_stream_L25_mlx,c,nan,stream,25,bg_realized_bytes_ps,1.354e+10,nan,nan,1,B/s,1.354e+10
stage_c_stream_L25_mlx,c,nan,stream,25,amc_cpu_gbps,8.522,nan,nan,1,GB/s,8.522
stage_c_stream_L25_mlx,c,nan,stream,25,amc_gpu_gbps,6.849,nan,nan,1,GB/s,6.849
stage_c_stream_L25_mlx,c,nan,stream,25,amc_ane_gbps,0.009269,nan,nan,1,GB/s,0.009269
stage_c_stream_L25_mlx,c,nan,stream,25,amc_total_gbps,15.74,nan,nan,1,GB/s,15.74
stage_c_stream_L50_mlx,c,nan,stream,50,fg_p50_resp_s,1.983,1.889,2.116,1,s,1.983
stage_c_stream_L50_mlx,c,nan,stream,50,fg_throughput_qps,0.1948,nan,nan,1,1/s,0.1948
stage_c_stream_L50_mlx,c,nan,stream,50,bg_realized_qps,8.406,nan,nan,1,1/s,8.406
stage_c_stream_L50_mlx,c,nan,stream,50,bg_realized_bytes_ps,2.708e+10,nan,nan,1,B/s,2.708e+10
stage_c_stream_L50_mlx,c,nan,stream,50,amc_cpu_gbps,1.639,nan,nan,1,GB/s,1.639
stage_c_stream_L50_mlx,c,nan,stream,50,amc_gpu_gbps,5.389,nan,nan,1,GB/s,5.389
stage_c_stream_L50_mlx,c,nan,stream,50,amc_ane_gbps,0.01426,nan,nan,1,GB/s,0.01426
stage_c_stream_L50_mlx,c,nan,stream,50,amc_total_gbps,7.564,nan,nan,1,GB/s,7.564
stage_c_stream_L75_mlx,c,nan,stream,75,fg_p50_resp_s,2.029,1.866,2.176,1,s,2.029
stage_c_stream_L75_mlx,c,nan,stream,75,fg_throughput_qps,0.1796,nan,nan,1,1/s,0.1796
stage_c_stream_L75_mlx,c,nan,stream,75,bg_realized_qps,12.6,nan,nan,1,1/s,12.6
stage_c_stream_L75_mlx,c,nan,stream,75,bg_realized_bytes_ps,4.06e+10,nan,nan,1,B/s,4.06e+10
stage_c_stream_L75_mlx,c,nan,stream,75,amc_cpu_gbps,1.608,nan,nan,1,GB/s,1.608
stage_c_stream_L75_mlx,c,nan,stream,75,amc_gpu_gbps,4.97,nan,nan,1,GB/s,4.97
stage_c_stream_L75_mlx,c,nan,stream,75,amc_ane_gbps,0.01568,nan,nan,1,GB/s,0.01568
stage_c_stream_L75_mlx,c,nan,stream,75,amc_total_gbps,7.111,nan,nan,1,GB/s,7.111
stage_d_clipane_L100_mlx,d,nan,clipane,100,fg_p50_resp_s,10.35,10.29,10.74,1,s,10.35
stage_d_clipane_L100_mlx,d,nan,clipane,100,fg_throughput_qps,0.09341,nan,nan,1,1/s,0.09341
stage_d_clipane_L100_mlx,d,nan,clipane,100,fg_tok_per_s,24.74,23.87,24.89,1,tok/s,24.74
stage_d_clipane_L100_mlx,d,nan,clipane,100,fg_per_token_s,0.03544,0.03524,0.03694,1,s,0.03544
stage_d_clipane_L100_mlx,d,nan,clipane,100,fg_ttft_s,1.311,1.298,1.325,1,s,1.311
