1782454637.818878, baseline_finetune, training_step, run, start, 145239789967375
1782454637.909408, baseline_finetune, training_step, run, end, 145239880499583
1782454637.949480, baseline_finetune, training_step, run, start, 145239920569583
1782454638.040577, baseline_finetune, training_step, run, end, 145240011675666
1782454638.077126, baseline_finetune, training_step, run, start, 145240048213583
1782454638.167960, baseline_finetune, training_step, run, end, 145240139049000
1782454638.210247, baseline_finetune, training_step, run, start, 145240181332375
1782454638.303199, baseline_finetune, training_step, run, end, 145240274306541
1782454638.341407, baseline_finetune, training_step, run, start, 145240312493166
1782454638.432017, baseline_finetune, training_step, run, end, 145240403106958
1782454638.473040, baseline_finetune, training_step, run, start, 145240444127000
1782454638.564739, baseline_finetune, training_step, run, end, 145240535829083
1782454638.599639, baseline_finetune, training_step, run, start, 145240570724416
1782454638.689471, baseline_finetune, training_step, run, end, 145240660562000
1782454638.729741, baseline_finetune, training_step, run, start, 145240700827500
1782454638.820659, baseline_finetune, training_step, run, end, 145240791754791
1782454638.858679, baseline_finetune, training_step, run, start, 145240829772500
1782454638.949280, baseline_finetune, training_step, run, end, 145240920388291
1782454638.986651, baseline_finetune, training_step, run, start, 145240957737625
1782454639.077675, baseline_finetune, training_step, run, end, 145241048767416
1782454639.113716, baseline_finetune, training_step, run, start, 145241084815416
1782454639.205485, baseline_finetune, training_step, run, end, 145241176586958
1782454639.243122, baseline_finetune, training_step, run, start, 145241214212166
1782454639.334094, baseline_finetune, training_step, run, end, 145241305191458
1782454639.373472, baseline_finetune, training_step, run, start, 145241344561916
1782454639.465108, baseline_finetune, training_step, run, end, 145241436210708
1782454639.504017, baseline_finetune, training_step, run, start, 145241475105833
1782454639.595383, baseline_finetune, training_step, run, end, 145241566481583
1782454639.630397, baseline_finetune, training_step, run, start, 145241601490833
1782454639.722062, baseline_finetune, training_step, run, end, 145241693191625
1782454639.762675, baseline_finetune, training_step, run, start, 145241733770291
1782454639.853433, baseline_finetune, training_step, run, end, 145241824545458
1782454639.885668, baseline_finetune, training_step, run, start, 145241856761083
1782454639.978698, baseline_finetune, training_step, run, end, 145241949800708
1782454640.010342, baseline_finetune, training_step, run, start, 145241981430333
1782454640.101735, baseline_finetune, training_step, run, end, 145242072833875
1782454640.137565, baseline_finetune, training_step, run, start, 145242108655208
1782454640.229689, baseline_finetune, training_step, run, end, 145242200788166
1782454640.267286, baseline_finetune, training_step, run, start, 145242238375916
1782454640.358699, baseline_finetune, training_step, run, end, 145242329801541
1782454640.394084, baseline_finetune, training_step, run, start, 145242365179416
1782454640.483286, baseline_finetune, training_step, run, end, 145242454380333
1782454640.522315, baseline_finetune, training_step, run, start, 145242493415208
1782454640.611513, baseline_finetune, training_step, run, end, 145242582638708
1782454640.648201, baseline_finetune, training_step, run, start, 145242619295000
1782454640.738184, baseline_finetune, training_step, run, end, 145242709286791
1782454640.772229, baseline_finetune, training_step, run, start, 145242743322000
1782454640.862486, baseline_finetune, training_step, run, end, 145242833590750
1782454640.894793, baseline_finetune, training_step, run, start, 145242865885958
1782454640.986678, baseline_finetune, training_step, run, end, 145242957779416
1782454641.016895, baseline_finetune, training_step, run, start, 145242987988375
1782454641.108593, baseline_finetune, training_step, run, end, 145243079703250
1782454641.144694, baseline_finetune, training_step, run, start, 145243115790166
1782454641.235574, baseline_finetune, training_step, run, end, 145243206679625
1782454641.271329, baseline_finetune, training_step, run, start, 145243242423125
1782454641.362109, baseline_finetune, training_step, run, end, 145243333210458
1782454641.398459, baseline_finetune, training_step, run, start, 145243369553375
1782454641.489603, baseline_finetune, training_step, run, end, 145243460706625
1782454641.525467, baseline_finetune, training_step, run, start, 145243496566333
1782454641.617283, baseline_finetune, training_step, run, end, 145243588386375
1782454641.651142, baseline_finetune, training_step, run, start, 145243622241750
1782454641.741432, baseline_finetune, training_step, run, end, 145243712539416
1782454641.774906, baseline_finetune, training_step, run, start, 145243746004416
1782454641.865222, baseline_finetune, training_step, run, end, 145243836335583
1782454641.900843, baseline_finetune, training_step, run, start, 145243871941208
1782454641.991498, baseline_finetune, training_step, run, end, 145243962607208
1782454642.026610, baseline_finetune, training_step, run, start, 145243997708750
1782454642.118233, baseline_finetune, training_step, run, end, 145244089344083
1782454642.153768, baseline_finetune, training_step, run, start, 145244124868750
1782454642.243912, baseline_finetune, training_step, run, end, 145244215020416
1782454642.282609, baseline_finetune, training_step, run, start, 145244253712666
1782454642.373747, baseline_finetune, training_step, run, end, 145244344853291
1782454642.412369, baseline_finetune, training_step, run, start, 145244383476333
1782454642.502807, baseline_finetune, training_step, run, end, 145244473921000
1782454642.540331, baseline_finetune, training_step, run, start, 145244511433166
1782454642.630243, baseline_finetune, training_step, run, end, 145244601353791
1782454642.667783, baseline_finetune, training_step, run, start, 145244638884458
1782454642.757881, baseline_finetune, training_step, run, end, 145244729000541
1782454642.791435, baseline_finetune, training_step, run, start, 145244762536166
1782454642.881869, baseline_finetune, training_step, run, end, 145244852979291
1782454642.919557, baseline_finetune, training_step, run, start, 145244890659041
1782454643.010101, baseline_finetune, training_step, run, end, 145244981210041
1782454643.050830, baseline_finetune, training_step, run, start, 145245021933958
1782454643.141423, baseline_finetune, training_step, run, end, 145245112534250
1782454643.176148, baseline_finetune, training_step, run, start, 145245147249875
1782454643.267942, baseline_finetune, training_step, run, end, 145245239051708
1782454643.301749, baseline_finetune, training_step, run, start, 145245272854000
1782454643.393128, baseline_finetune, training_step, run, end, 145245364242541
1782454643.436500, baseline_finetune, training_step, run, start, 145245407606833
