1782435937.169768, baseline_finetune, training_step, run, end, 4555003007864455
1782435937.200391, baseline_finetune, training_step, run, start, 4555003038482183
1782435937.239350, baseline_finetune, training_step, run, end, 4555003077439581
1782435937.267834, baseline_finetune, training_step, run, start, 4555003105926168
1782435937.305168, baseline_finetune, training_step, run, end, 4555003143256794
1782435937.332573, baseline_finetune, training_step, run, start, 4555003170665330
1782435937.370480, baseline_finetune, training_step, run, end, 4555003208570357
1782435937.400929, baseline_finetune, training_step, run, start, 4555003239035205
1782435937.439586, baseline_finetune, training_step, run, end, 4555003277683578
1782435937.461357, baseline_finetune, training_step, run, start, 4555003299453907
1782435937.500714, baseline_finetune, training_step, run, end, 4555003338820171
1782435937.523605, baseline_finetune, training_step, run, start, 4555003361690663
1782435937.562321, baseline_finetune, training_step, run, end, 4555003400418204
1782435937.582725, baseline_finetune, training_step, run, start, 4555003420803330
1782435937.621133, baseline_finetune, training_step, run, end, 4555003459232150
1782435937.648999, baseline_finetune, training_step, run, start, 4555003487077711
1782435937.686966, baseline_finetune, training_step, run, end, 4555003525063315
1782435937.712649, baseline_finetune, training_step, run, start, 4555003550732854
1782435937.751466, baseline_finetune, training_step, run, end, 4555003589567980
1782435937.775004, baseline_finetune, training_step, run, start, 4555003613088890
1782435937.813880, baseline_finetune, training_step, run, end, 4555003651971152
1782435937.859871, baseline_finetune, training_step, run, start, 4555003697961864
1782435937.899365, baseline_finetune, training_step, run, end, 4555003737462224
1782435937.962483, baseline_finetune, training_step, run, start, 4555003800570837
1782435937.999758, baseline_finetune, training_step, run, end, 4555003837840215
1782435938.028030, baseline_finetune, training_step, run, start, 4555003866110945
1782435938.066370, baseline_finetune, training_step, run, end, 4555003904450101
1782435938.094934, baseline_finetune, training_step, run, start, 4555003933033488
1782435938.135676, baseline_finetune, training_step, run, end, 4555003973771883
1782435938.161694, baseline_finetune, training_step, run, start, 4555003999775135
1782435938.200029, baseline_finetune, training_step, run, end, 4555004038154067
1782435938.223713, baseline_finetune, training_step, run, start, 4555004061792017
1782435938.262042, baseline_finetune, training_step, run, end, 4555004100144325
