# E2 collection
# started      : 2026-08-28 18:09:59 +0200
# machine      : gb10
# git_commit   : a64f8e2f497dac51297c190384fa5d4cb93ff32b
# git_dirty    : yes
# host         : spark-cc0d
# platform     : Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39
# python       : 3.10.19
# torch        : 2.10.0+cu130
# radt         : 0.2.29
# mlflow       : 3.15.1
# pin          : 5-9,15-19
# runs         : 11
[08-28 18:10:01] pinning workload to core(s) [5-9,15-19]
[08-28 18:10:01] E2 collection: 9 cell(s) x 3 configurations x 11 runs on gb10
[08-28 19:39:11]   mod_meffv2s_b1_monolith_gb10_r1 rc=0 8s rows=605 spans=n/a
[08-28 19:39:19]   mod_meffv2s_b1_choreo_gb10_r1 rc=0 8s rows=602 spans=n/a
[08-28 19:39:28]   mod_meffv2s_b1_choreo-traced_gb10_r1 rc=0 9s rows=603 spans=2401
[08-28 19:39:37]   mod_meffv2s_b1_choreo_gb10_r2 rc=0 9s rows=602 spans=n/a
[08-28 19:39:46]   mod_meffv2s_b1_choreo-traced_gb10_r2 rc=0 9s rows=603 spans=2401
[08-28 19:39:53]   mod_meffv2s_b1_monolith_gb10_r2 rc=0 7s rows=605 spans=n/a
[08-28 19:40:02]   mod_meffv2s_b1_choreo-traced_gb10_r3 rc=0 9s rows=603 spans=2401
[08-28 19:40:10]   mod_meffv2s_b1_monolith_gb10_r3 rc=0 8s rows=605 spans=n/a
[08-28 19:40:18]   mod_meffv2s_b1_choreo_gb10_r3 rc=0 8s rows=602 spans=n/a
[08-28 19:40:26]   mod_meffv2s_b1_monolith_gb10_r4 rc=0 8s rows=605 spans=n/a
[08-28 19:40:34]   mod_meffv2s_b1_choreo_gb10_r4 rc=0 8s rows=602 spans=n/a
[08-28 19:40:43]   mod_meffv2s_b1_choreo-traced_gb10_r4 rc=0 9s rows=603 spans=2401
[08-28 19:40:52]   mod_meffv2s_b1_choreo_gb10_r5 rc=0 9s rows=602 spans=n/a
[08-28 19:41:01]   mod_meffv2s_b1_choreo-traced_gb10_r5 rc=0 9s rows=603 spans=2401
[08-28 19:41:08]   mod_meffv2s_b1_monolith_gb10_r5 rc=0 7s rows=605 spans=n/a
[08-28 19:41:17]   mod_meffv2s_b1_choreo-traced_gb10_r6 rc=0 9s rows=603 spans=2401
[08-28 19:41:24]   mod_meffv2s_b1_monolith_gb10_r6 rc=0 7s rows=605 spans=n/a
[08-28 19:41:33]   mod_meffv2s_b1_choreo_gb10_r6 rc=0 9s rows=602 spans=n/a
[08-28 19:41:40]   mod_meffv2s_b1_monolith_gb10_r7 rc=0 7s rows=605 spans=n/a
[08-28 19:41:49]   mod_meffv2s_b1_choreo_gb10_r7 rc=0 9s rows=602 spans=n/a
[08-28 19:41:58]   mod_meffv2s_b1_choreo-traced_gb10_r7 rc=0 9s rows=603 spans=2401
[08-28 19:42:06]   mod_meffv2s_b1_choreo_gb10_r8 rc=0 8s rows=602 spans=n/a
[08-28 19:42:15]   mod_meffv2s_b1_choreo-traced_gb10_r8 rc=0 9s rows=603 spans=2401
[08-28 19:42:23]   mod_meffv2s_b1_monolith_gb10_r8 rc=0 8s rows=605 spans=n/a
[08-28 19:42:32]   mod_meffv2s_b1_choreo-traced_gb10_r9 rc=0 9s rows=603 spans=2401
[08-28 19:42:39]   mod_meffv2s_b1_monolith_gb10_r9 rc=0 7s rows=605 spans=n/a
[08-28 19:42:47]   mod_meffv2s_b1_choreo_gb10_r9 rc=0 8s rows=602 spans=n/a
[08-28 19:42:55]   mod_meffv2s_b1_monolith_gb10_r10 rc=0 8s rows=605 spans=n/a
[08-28 19:43:03]   mod_meffv2s_b1_choreo_gb10_r10 rc=0 8s rows=602 spans=n/a
[08-28 19:43:12]   mod_meffv2s_b1_choreo-traced_gb10_r10 rc=0 9s rows=603 spans=2401
[08-28 19:43:21]   mod_meffv2s_b1_choreo_gb10_r11 rc=0 9s rows=602 spans=n/a
[08-28 19:43:30]   mod_meffv2s_b1_choreo-traced_gb10_r11 rc=0 9s rows=603 spans=2401
[08-28 19:43:37]   mod_meffv2s_b1_monolith_gb10_r11 rc=0 7s rows=605 spans=n/a
[08-28 19:43:46]   mod_meffv2s_b2_monolith_gb10_r1 rc=0 9s rows=605 spans=n/a
[08-28 19:43:56]   mod_meffv2s_b2_choreo_gb10_r1 rc=0 10s rows=602 spans=n/a
[08-28 19:44:07]   mod_meffv2s_b2_choreo-traced_gb10_r1 rc=0 11s rows=603 spans=2401
[08-28 19:44:17]   mod_meffv2s_b2_choreo_gb10_r2 rc=0 10s rows=602 spans=n/a
[08-28 19:44:28]   mod_meffv2s_b2_choreo-traced_gb10_r2 rc=0 11s rows=603 spans=2401
[08-28 19:44:37]   mod_meffv2s_b2_monolith_gb10_r2 rc=0 9s rows=605 spans=n/a
[08-28 19:44:48]   mod_meffv2s_b2_choreo-traced_gb10_r3 rc=0 11s rows=603 spans=2401
[08-28 19:44:57]   mod_meffv2s_b2_monolith_gb10_r3 rc=0 9s rows=605 spans=n/a
[08-28 19:45:07]   mod_meffv2s_b2_choreo_gb10_r3 rc=0 10s rows=602 spans=n/a
[08-28 19:45:16]   mod_meffv2s_b2_monolith_gb10_r4 rc=0 9s rows=605 spans=n/a
[08-28 19:45:26]   mod_meffv2s_b2_choreo_gb10_r4 rc=0 10s rows=602 spans=n/a
[08-28 19:45:37]   mod_meffv2s_b2_choreo-traced_gb10_r4 rc=0 11s rows=603 spans=2401
[08-28 19:45:47]   mod_meffv2s_b2_choreo_gb10_r5 rc=0 10s rows=602 spans=n/a
[08-28 19:45:58]   mod_meffv2s_b2_choreo-traced_gb10_r5 rc=0 11s rows=603 spans=2401
[08-28 19:46:07]   mod_meffv2s_b2_monolith_gb10_r5 rc=0 9s rows=605 spans=n/a
[08-28 19:46:17]   mod_meffv2s_b2_choreo-traced_gb10_r6 rc=0 10s rows=603 spans=2401
[08-28 19:46:26]   mod_meffv2s_b2_monolith_gb10_r6 rc=0 9s rows=605 spans=n/a
[08-28 19:46:36]   mod_meffv2s_b2_choreo_gb10_r6 rc=0 10s rows=602 spans=n/a
[08-28 19:46:46]   mod_meffv2s_b2_monolith_gb10_r7 rc=0 10s rows=605 spans=n/a
[08-28 19:46:56]   mod_meffv2s_b2_choreo_gb10_r7 rc=0 10s rows=602 spans=n/a
[08-28 19:47:07]   mod_meffv2s_b2_choreo-traced_gb10_r7 rc=0 11s rows=603 spans=2401
[08-28 19:47:17]   mod_meffv2s_b2_choreo_gb10_r8 rc=0 10s rows=602 spans=n/a
[08-28 19:47:28]   mod_meffv2s_b2_choreo-traced_gb10_r8 rc=0 11s rows=603 spans=2401
[08-28 19:47:37]   mod_meffv2s_b2_monolith_gb10_r8 rc=0 9s rows=605 spans=n/a
