config	cell	run	rc	seconds	csv_rows	spans
choreo-traced	meffv2s_b4	5	0	27	603	2401
monolith	meffv2s_b4	5	0	24	605	
choreo-traced	meffv2s_b4	6	0	26	603	2401
monolith	meffv2s_b4	6	0	23	605	
choreo	meffv2s_b4	6	0	26	602	
monolith	meffv2s_b4	7	0	23	605	
choreo	meffv2s_b4	7	0	26	602	
choreo-traced	meffv2s_b4	7	0	26	603	2401
choreo	meffv2s_b4	8	0	26	602	
choreo-traced	meffv2s_b4	8	0	27	603	2401
monolith	meffv2s_b4	8	0	24	605	
choreo-traced	meffv2s_b4	9	0	26	603	2401
monolith	meffv2s_b4	9	0	24	605	
choreo	meffv2s_b4	9	0	25	602	
monolith	meffv2s_b4	10	0	23	605	
choreo	meffv2s_b4	10	0	25	602	
choreo-traced	meffv2s_b4	10	0	27	603	2401
choreo	meffv2s_b4	11	0	25	602	
choreo-traced	meffv2s_b4	11	0	27	603	2401
monolith	meffv2s_b4	11	0	24	605	
monolith	meffv2s_b64	1	0	295	605	
choreo	meffv2s_b64	1	0	297	602	
choreo-traced	meffv2s_b64	1	0	296	603	2401
choreo	meffv2s_b64	2	0	297	602	
choreo-traced	meffv2s_b64	2	0	298	603	2401
monolith	meffv2s_b64	2	0	294	605	
choreo-traced	meffv2s_b64	3	0	298	603	2401
monolith	meffv2s_b64	3	0	296	605	
choreo	meffv2s_b64	3	0	297	602	
monolith	meffv2s_b64	4	0	293	605	
choreo	meffv2s_b64	4	0	298	602	
choreo-traced	meffv2s_b64	4	0	297	603	2401
choreo	meffv2s_b64	5	0	299	602	
choreo-traced	meffv2s_b64	5	0	299	603	2401
monolith	meffv2s_b64	5	0	293	605	
choreo-traced	meffv2s_b64	6	0	298	603	2401
monolith	meffv2s_b64	6	0	294	605	
choreo	meffv2s_b64	6	0	298	602	
monolith	meffv2s_b64	7	0	297	605	
choreo	meffv2s_b64	7	0	297	602	
choreo-traced	meffv2s_b64	7	0	297	603	2401
choreo	meffv2s_b64	8	0	297	602	
choreo-traced	meffv2s_b64	8	0	298	603	2401
monolith	meffv2s_b64	8	0	295	605	
