config	cell	run	rc	seconds	csv_rows	spans
choreo-traced	meffv2s_b32	8	0	87	603	2401
monolith	meffv2s_b32	8	0	85	605	
choreo-traced	meffv2s_b32	9	0	88	603	2401
monolith	meffv2s_b32	9	0	85	605	
choreo	meffv2s_b32	9	0	86	602	
monolith	meffv2s_b32	10	0	86	605	
choreo	meffv2s_b32	10	0	86	602	
choreo-traced	meffv2s_b32	10	0	87	603	2401
choreo	meffv2s_b32	11	0	86	602	
choreo-traced	meffv2s_b32	11	0	87	603	2401
monolith	meffv2s_b32	11	0	85	605	
monolith	meffv2s_b4	1	0	14	605	
choreo	meffv2s_b4	1	0	14	602	
choreo-traced	meffv2s_b4	1	0	16	603	2401
choreo	meffv2s_b4	2	0	14	602	
choreo-traced	meffv2s_b4	2	0	16	603	2401
monolith	meffv2s_b4	2	0	13	605	
choreo-traced	meffv2s_b4	3	0	15	603	2401
monolith	meffv2s_b4	3	0	14	605	
choreo	meffv2s_b4	3	0	14	602	
monolith	meffv2s_b4	4	0	14	605	
choreo	meffv2s_b4	4	0	14	602	
choreo-traced	meffv2s_b4	4	0	15	603	2401
choreo	meffv2s_b4	5	0	15	602	
choreo-traced	meffv2s_b4	5	0	15	603	2401
monolith	meffv2s_b4	5	0	14	605	
choreo-traced	meffv2s_b4	6	0	15	603	2401
monolith	meffv2s_b4	6	0	14	605	
choreo	meffv2s_b4	6	0	15	602	
monolith	meffv2s_b4	7	0	13	605	
choreo	meffv2s_b4	7	0	15	602	
choreo-traced	meffv2s_b4	7	0	15	603	2401
choreo	meffv2s_b4	8	0	15	602	
choreo-traced	meffv2s_b4	8	0	15	603	2401
monolith	meffv2s_b4	8	0	13	605	
choreo-traced	meffv2s_b4	9	0	16	603	2401
monolith	meffv2s_b4	9	0	13	605	
choreo	meffv2s_b4	9	0	15	602	
monolith	meffv2s_b4	10	0	13	605	
choreo	meffv2s_b4	10	0	15	602	
choreo-traced	meffv2s_b4	10	0	15	603	2401
choreo	meffv2s_b4	11	0	15	602	
choreo-traced	meffv2s_b4	11	0	15	603	2401
monolith	meffv2s_b4	11	0	14	605	
monolith	meffv2s_b64	1	0	171	605	
choreo	meffv2s_b64	1	0	173	955	
choreo-traced	meffv2s_b64	1	0	173	603	2401
choreo	meffv2s_b64	2	0	173	602	
