1769541973.711742, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start
1769541973.711766, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end
1769541973.711777, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start
1769541973.711801, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end
1769541973.711813, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start
1769541973.711837, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end
1769541973.711848, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start
1769541973.711870, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end
1769541973.711882, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start
1769541973.711904, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end
1769541973.711915, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start
1769541973.711938, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end
1769541973.711950, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start
1769541973.711972, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end
1769541973.711984, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start
1769541973.712005, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end
1769541973.712016, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 161815928352309592020950170891952969699, 1769541973.711593, 5, 1
1769541973.712057, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 161815928352309592020950170891952969699, 1769541973.712045, 6, 1
1769541973.712082, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start
1769541973.712113, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end
1769541973.712128, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start
1769541973.712151, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end
1769541973.712162, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start
1769541973.712184, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end
1769541973.712195, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start
1769541973.712238, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end
1769541973.712272, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start
1769541973.712301, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end
1769541973.712314, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start
1769541973.712338, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end
1769541973.712350, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start
1769541973.712372, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end
1769541973.712384, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start
1769541973.712414, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end
1769541973.712438, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start
1769541973.712453, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end
1769541973.712466, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start
1769541973.712490, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end
1769541973.712502, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 161815928352309592020950170891952969699, 1769541973.712045, 6, 1
1769541973.712551, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 161815928352309592020950170891952969699, 1769541973.712540, 7, 1
1769541973.712571, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start
1769541973.712587, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end
1769541973.712599, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start
1769541973.712622, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end
1769541973.712633, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start
1769541973.712657, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end
1769541973.712668, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start
1769541973.712690, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end
1769541973.712702, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start
1769541973.712724, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end
1769541973.712735, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start
1769541973.712757, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end
1769541973.712768, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start
1769541973.712790, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end
1769541973.712802, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start
1769541973.712825, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end
1769541973.712838, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start
1769541973.712860, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end
1769541973.712872, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start
1769541973.712895, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end
1769541973.712908, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 161815928352309592020950170891952969699, 1769541973.712540, 7, 1
1769541973.712947, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 161815928352309592020950170891952969699, 1769541973.712935, 8, 1
1769541973.712964, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start
1769541973.712979, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end
1769541973.712990, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start
1769541973.713054, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end
1769541973.713088, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start
1769541973.713149, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end
1769541973.713177, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start
1769541973.713193, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end
1769541973.713223, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start
1769541973.713260, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end
1769541973.713278, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start
1769541973.713342, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end
1769541973.713381, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start
1769541973.713416, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end
1769541973.713441, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start
1769541973.713457, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, end
1769541973.713488, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, start
1769541973.713519, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 8, run, end
1769541973.713549, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, start
1769541973.713578, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 9, run, end
1769541973.713590, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, end, 161815928352309592020950170891952969699, 1769541973.712935, 8, 1
1769541973.713639, NoOp Chain Depth 10 Size 10485760 Mode ref, pipeline - train, run, start, 161815928352309592020950170891952969699, 1769541973.713627, 9, 1
1769541973.713670, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, start
1769541973.713699, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 0, run, end
1769541973.713729, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, start
1769541973.713758, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 1, run, end
1769541973.713771, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, start
1769541973.713798, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 2, run, end
1769541973.713832, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, start
1769541973.713861, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 3, run, end
1769541973.713888, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, start
1769541973.713929, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 4, run, end
1769541973.713942, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, start
1769541973.713969, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 5, run, end
1769541973.713980, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, start
1769541973.714007, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 6, run, end
1769541973.714029, NoOp Chain Depth 10 Size 10485760 Mode ref, Ref Stage 7, run, start
