1769541867.724011, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end
1769541867.724071, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 38640133514089458584439396417302596950, 1769541867.722947, 5, 1
1769541867.724280, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 38640133514089458584439396417302596950, 1769541867.724255, 6, 1
1769541867.724325, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start
1769541867.724344, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end
1769541867.724378, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start
1769541867.724399, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end
1769541867.724417, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start
1769541867.724437, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end
1769541867.724462, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start
1769541867.724479, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end
1769541867.724496, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start
1769541867.724512, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end
1769541867.724567, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start
1769541867.724615, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end
1769541867.724663, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start
1769541867.724686, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end
1769541867.724708, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start
1769541867.724758, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end
1769541867.724782, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start
1769541867.724803, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end
1769541867.724822, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start
1769541867.724842, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end
1769541867.724858, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 38640133514089458584439396417302596950, 1769541867.724255, 6, 1
1769541867.724894, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 38640133514089458584439396417302596950, 1769541867.724882, 7, 1
1769541867.724915, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start
1769541867.724940, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end
1769541867.724967, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start
1769541867.725007, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end
1769541867.725039, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start
1769541867.725060, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end
1769541867.725080, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start
1769541867.725142, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end
1769541867.725215, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start
1769541867.725360, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end
1769541867.725433, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start
1769541867.725534, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end
1769541867.725598, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start
1769541867.725651, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end
1769541867.725695, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start
1769541867.725751, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end
1769541867.725791, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start
1769541867.725823, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end
1769541867.725841, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start
1769541867.725858, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end
1769541867.725903, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 38640133514089458584439396417302596950, 1769541867.724882, 7, 1
1769541867.726018, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 38640133514089458584439396417302596950, 1769541867.726003, 8, 1
1769541867.726050, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start
1769541867.726065, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end
1769541867.726111, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, start
1769541867.726191, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 1, run, end
1769541867.726230, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, start
1769541867.726339, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 2, run, end
1769541867.726400, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, start
1769541867.726428, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 3, run, end
1769541867.726456, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, start
1769541867.726476, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 4, run, end
1769541867.726492, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, start
1769541867.726509, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 5, run, end
1769541867.726525, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, start
1769541867.726540, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 6, run, end
1769541867.726572, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, start
1769541867.726588, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 7, run, end
1769541867.726602, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, start
1769541867.726618, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 8, run, end
1769541867.726632, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, start
1769541867.726647, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 9, run, end
1769541867.726696, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, end, 38640133514089458584439396417302596950, 1769541867.726003, 8, 1
1769541867.726808, NoOp Chain Depth 10 Size 1024 Mode copy, pipeline - train, run, start, 38640133514089458584439396417302596950, 1769541867.726771, 9, 1
1769541867.726841, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, start
1769541867.726856, NoOp Chain Depth 10 Size 1024 Mode copy, Copy Stage 0, run, end
