arm	depth	run	rc	seconds	csv_rows	spans
spans-only	64	2	0	2	205	19862
both	64	2	0	3	13133	19862
as-reported	64	2	0	1	13132	
spans-only	64	3	0	2	205	19862
both	64	3	0	3	13133	19862
as-reported	64	3	0	1	13132	
uninstrumented	64	3	0	1	204	
both	64	4	0	3	13133	19862
as-reported	64	4	0	1	13132	
uninstrumented	64	4	0	2	204	
spans-only	64	4	0	3	205	19862
as-reported	64	5	0	2	13132	
uninstrumented	64	5	0	1	204	
spans-only	64	5	0	3	205	19862
both	64	5	0	2	13133	19862
uninstrumented	64	6	0	2	204	
spans-only	64	6	0	2	205	19862
both	64	6	0	3	13133	19862
as-reported	64	6	0	2	13132	
spans-only	64	7	0	2	205	19862
both	64	7	0	3	13133	19862
as-reported	64	7	0	2	13132	
uninstrumented	64	7	0	1	204	
both	64	8	0	3	13133	19862
as-reported	64	8	0	2	13132	
uninstrumented	64	8	0	1	204	
spans-only	64	8	0	3	205	19862
as-reported	64	9	0	2	13132	
uninstrumented	64	9	0	1	204	
spans-only	64	9	0	3	205	19862
both	64	9	0	2	13133	19862
uninstrumented	64	10	0	2	204	
spans-only	64	10	0	3	205	19862
both	64	10	0	2	13133	19862
as-reported	64	10	0	2	13132	
spans-only	64	11	0	2	205	19862
both	64	11	0	3	13133	19862
as-reported	64	11	0	2	13132	
uninstrumented	64	11	0	1	204	
as-reported	128	1	0	3	26060	
uninstrumented	128	1	0	1	204	
spans-only	128	1	0	4	205	39318
both	128	1	0	3	26061	39318
uninstrumented	128	2	0	2	204	
spans-only	128	2	0	3	205	39318
both	128	2	0	3	26061	39318
as-reported	128	2	0	2	26060	
spans-only	128	3	0	4	205	39318
both	128	3	0	3	26061	39318
as-reported	128	3	0	2	26060	
uninstrumented	128	3	0	2	204	
both	128	4	0	3	26061	39318
as-reported	128	4	0	2	26060	
uninstrumented	128	4	0	2	204	
spans-only	128	4	0	3	205	39318
as-reported	128	5	0	2	26060	
uninstrumented	128	5	0	2	204	
spans-only	128	5	0	4	205	39318
both	128	5	0	3	26061	39318
uninstrumented	128	6	0	2	204	
spans-only	128	6	0	3	205	39318
both	128	6	0	3	26061	39318
as-reported	128	6	0	2	26060	
spans-only	128	7	0	3	205	39318
both	128	7	0	4	26061	39318
as-reported	128	7	0	2	26060	
